document_id,clean_text,sentiment
0,"I had the rather intense privilege to view James Cameron's much anticipated $400 million budget return to the directing scene, Avatar, at the Empire Leicester Square in London.Where to begin! The visuals in this pieces was groundbreaking. He did it with the Terminator series and then Titanic, so one would expect Cameron to deliver... and HE DID! The visual are by far some of the sharpest CGI I have seen. You could almost say that there is a disquiet that follows Cameron's soul, as there is no other possibility of this strong and intensified quality. Its production design and visual effects are both noteworthy and it will get its praise upon official release.What it was lacking that really should have shaped the movie is its character/story. I was expecting a complex and believable plot, but was left with a movie with mostly strong visuals. What most sci-fi lovers desire is mind-bending philosophies, fantasy and exploration and limitations of our or outer species. If it was not for this factor, I would give this a 9.5 vote.Avatar will be a success, not only because of Cameron's legacy, but by very intelligent and viral marketing. Avatar have had a powerful marketing technique that assembles other successful blockbusters, such as The Blair Witch project (you all remember it), The Dark Knight (Joker invades the world) and also, the current production The Artifice (the-artifice.com) that is intelligently targeting the market.Kudos to Cameron, Avatar is one of the (if not The) movie of the year. I could get in trouble for sharing this with you guys so early, so please click Yes on ""Was the above comment useful to you?"" as a thank you. ;)",positive
1,"Nobody directs like James Cameron. Ten years in the works, and every minute was worth it. It is the Star Wars of the 21st century. Though the plot is derivative and bears some pretty close resemblance to Dances with Wolves and a little bit of The Last Samurai, it does not ruin a mind-blowing experience. Avatar has a great future ahead of it and, possibly another Oscar for the mighty James Cameron. Jake Sully, is an ex-marine, bound to a wheel chair. He seeks to make a fresh start on the moon Pandora where his brother worked. The moon has a military run mining colony. The business has brought humans into contact with the local natives, tall blue dudes, called Na'vi. The Na'vi inhabit a part of the moon under which lies a large deposit of valuable minerals, and the humans are trying to get them to relocate. Colonel Quarich who runs the operation, ask Sully to go under cover as a Na'vi, to learn the secrets, to give the humans an advantage. If successful, Sully will get his legs back. The magic of future science and 3-D effects give Sully a handsome genetically engineered Avatar body, and he embarks on his mission. Once on the inside however, his loyalties to the humans start to turn when his heart gets lost to the Na'vi princess Neytiri. Is he willing to fight on the blue side now?The landscape of Pandora is the most creative and inventive of the decade. There are creatures that you might find in your wildest dreams or your worst nightmares. There is flora and fauna that shine with the bioluminescence of a thousand deep sea critters, and also trees which dwarf the Empire State Building.I guess the only noticeable problem with Avatar, is a lack of original story. What you see on the screen will blow you away, but all the tough critics, may come down a bit on the fact that despite being the latest in film technology, Cameron uses a very old archetypal formula, perhaps just a bit too schematic. There are a few badly scripted segments of dialogue, but nothing that makes you wanna blow raspberries at the screen.What is most important is the fact that Cameron's story gets the viewer involved and offers a handful of memorable and likable characters to root for, and some to root against. This is the post- modern era, and originality is rare, but if there is any technical progress to be made in the world of movies and entertainment, there is one name that dwarfs all JAMES CAMERON, and after ten years hiding from the Hollywood mainstream, he is back.",positive
2,"You know the feeling when you start watching a movie, realizing it's almost 3 hours, and saying to yourself - ""Well this is probably gonna be mostly boring"", well, the creators of this movie didn't let that happen, rest assures.From the beginning up until the ending, every scene is perfected, with amazing acting, stunning directing, great visual effects, and astounding sound effects.The story building is just great , characters are well-developed , and the concept is brilliant.The only thing that's missing to me, is a fitting-soundtrack which could've give some scenes a great boost.I avoided watching this movie for a long time, because it just seemed a little ridiculous to me (Come on there are blue people) but I'm so glad I finally decides to give it a chance, and boy did it serve.Loved it. 9.5/10.",positive
3,"I'm not exactly sure when it became a thing among my tribe of film geeks to bash 'Avatar'. I know it wasn't when it came out, because most of the film fans in my circle of nerdy friends went to watch it multiple times and couldn't get enough of it. In hindsight, I suspect it was around the time when everybody and their grandmother seemed to have seen it; somehow, once the film had become the most successful movie ever (unadjusted for inflation) it stopped being cool to like James Cameron's eco-sci-fi extravaganza.Nowadays the film is often brought up in snarky movie blogs as a typical example for a film with great effects but a dull story, unoriginal ideas and bland characters, as if this were somehow the general consensus among film aficionados. ""FernGully in space"" or ""Dances With Wolves with blue cat-people"" are some of the kinder descriptions the film has to endure - which in all honesty I don't get.I mean, it's fine not to like the movie (all art is subjective and all that), but how so many self-professed film experts now pretend this critically acclaimed picture - which on Metacritic is rated even higher than 'The Dark Knight' - was nothing but a bland, unoriginal, run-of-the-mill Hollywood blockbuster that only succeeded thanks to the (then) novelty of 3D is frankly beyond me.What I find even more astounding is how the very people who decry the lack of original, director-driven blockbusters in Hollywood are often the same who turn up their noses at 'Avatar': an original, director-driven blockbuster that came out when most other big budget movies were either sequels or adaptations of already existing intellectual properties. ""The ideas in the film are not original"", they claim. Come on guys, seriously?So you've seen a world like Pandora before? A bioluminescent visual wonder that merges the colorful marine life of coral reefs with the lush vegetation of tropical rain forests? A world where nature forms an actual neural network that stores memories and builds a collective consciousness? You've seen many films about a bio-database that people can plug themselves into via ancient trees and communicate with their ancestors?You've watched countless blockbusters that take place in an eco-system where you can form instant symbiosis with other creatures depending on your needs? And by the way: how many ""eco-sci-fi"" films have you seen? Such a worn-out concept and tired old sub-genre, right?No my friends, in terms of Hollywood blockbusters, these ideas and concepts are about as original as they come, and some of them are even inspired by actual biological phenomenons (like the discovery that the roots of trees do indeed form a sort of neural network in a symbiosis with fungi where they are able to store and exchange information). But what is true is that the filmmaker cleverly chose a very straight-forward story to get his environmentalist plea and anti-colonial, anti-imperialist message across and make some rather complex sci-fi ideas more accessible for a broad audience.To that end, the film uses certain well-known story tropes (""the spy who changes sides once he falls in love with an enemy""; ""the soldier who realizes he's been fighting for the wrong cause""; ""the invader who gets to know and appreciate the foreign culture he's invading"" or the timeless trope of ""the fish out of water""), but they are not what the film is about. And those tropes are not copied from 'Dances With Wolves' either - any more than that film stole them from 'Pocahontas': they are so universal you can find variations of any one of them in numerous legends and stories and thus also throughout film history, from 'Lawrence of Arabia' to 'Shogun' or 'The Last Samurai' and countless others.And yes, our heroes Jake and Neytiri are not the most complex of characters (though neither are they as bland as the film's most vicious detractors claim), but that's because they aren't really the film's main focus. 'Avatar's actual protagonist, its true star if you will, is Pandora. It's the WORLD we get to experience through Jake's eyes that really matters here, and the film aims straight for your gut - not your sci-fi nerd brain (which I suspect is the actual reason why so many former Cameron fans - now - claim to be disappointed with the film).More than anything, 'Avatar' wants you to lose your heart to this beautiful planet that functions as an obvious stand-in for our own threatened world, and the film is an unapologetic, uncynical declaration of love to the wonders of nature - as well as a call to action to preserve them. Which on an emotional level works marvelously: nothing in the film is as painful and shocking as the destruction of a single big tree, which symbolizes quite literally nature as the home and shelter we depend upon. It's a genius scene, and I dare you to find an action blockbuster where the distruction of a city or a whole planet carries even a shred of the emotional heft that the falling of ""Home Tree"" does in Cameron's film.So again (I'm trying to hammer my point home here ;-), 'Avatar' is simple? Yes, but that's the point: the simplicity and familiarity of the story are deliberate; the themes are not just derivative re-treads, they're as universal as those in myths and fairy tales and thus speak to everyone. And that's exactly what Cameron's intention was: to use simple enough tropes and archetypes to convey a heart-felt message that would work across cultural borders and reach people all over the world. Which, given the film's success, it obviously did.Personally, I think 'Avatar' is a prime example of visual and emotional storytelling done right, and viewing it for the first time offers an experience that is almost without equal in its immersiveness. And while this may only have been my own individual experience, 'Avatar' was also the first movie in a long time that completely vowed me in the sense that I felt like a little kid again in the theater - which had very little to do with the novelty of 3D. It was also the last time a film managed to do that.And even in terms of pure entertainment the film is simply spectacular. It's a rousing adventure with gorgeous visuals and top-notch CGI, filled with fascinating creatures and jaw-dropping future-tech, and the final 40 minutes of the film provide an all out, non-stop sci-fi action thrill-ride on a scale the world had rarely - if ever - seen before.Obviously that doesn't mean it's a perfect film, and as I already pointed out, it's fair not to like it for any number of reasons (above all: personal taste), but 'Avatar' is far from deserving the kind of snark and ridicule it gets these days. Get over it people: simple doesn't equal simplistic, and the fact that 'Avatar' is neither subtle nor cynical doesn't make it dumb (even if it does make it harder for some of us nerds to like it wihtout feeling slightly embarassed ;-).In all honesty, I believe if this had been a slightly more obscure film - instead of the most successful movie of all time - many of the same people who hate on it now would hail it as an epic sci-fi adventure classic for the ages. And as far as I'm concerned, that's exactly what 'Avatar' is: a modern classic by a visionary filmmaker and true auteur. Rant over.",neutral
4,"I was waiting for this day for the longest time. I was a kid back in 2009 when this movie released. So never got to watch it back then. But now when it rereleased I booked the first day show to a IMAX show and oh boy was I blown away! This is nothing short of a masterpiece! It's beyond belief how a film like this could've been made. Every scene, every shot is perfection. You are transferred to a different world and become so engrossed in the film. Never have I attended a movie where at the end of it people got up from their seats and started clapping! Last time this happened was after Infinity War. That movie too was a damn brilliant one. I'm from India and this is legit rare, where people go crazy, so crazy after any English film. This was one experience that I will never forget. I'm definitely going for it again next weekend cuz just once was not enough.Every human on the planet needs to experience this magnificent work of art!",positive
5,"I was lucky to see Avatar at a pre-screening a few hours ago. It completely blew me and the whole room away and i dare to say it will do so to 80% of any audience anywhere. The remaining 20%, who always finds something to complain about, will whine about character development, dialog, story or the pop-corn.Well, let me tell you: they went to this movie with the wrong expectations.You have most likely met Cameron's previous work(s): Aliens, Terminator 1 & 2, The Abyss, Titanic (!), just to name a few.So WHAT should you expect from Avatar??? MORE of the same!!! More of revolutionary film-making, more of grandiose new ideas, more of never-before-seen special effects, more of 150 minutes without relapsing, more of the James Cameron genius...I am very happy that the trailers didn't give the full story away. Lots of emotions are waiting for the viewer, laughter and tears also. Cameron was very smart keeping the teasers as teasers, nothing more... as the full movie will take your breath away.You will practically not notice that you are watching a non-existing world, it is sooo real. Attention to detail is superb. You computer geeks will know what I am talking about. This move was not rushed in the making. No wonder it could not have been done before - not having the proper computing power.The wild life, the jungle, the animals, the Na'vi-s, or the dragon-like flying creatures are all so life-like, they almost pop-off the screen (and in 3D they actually do :) .The sound effects were so well done, that when I saw at the credits that Skywalker Sound was behind it, i could only think of ""yessss... now THAT makes sense.""Cameron is a visionaire - and again, he delivers, with full blast.A certain character says in the movie that Pandora (the planet where the story takes place) became his real world. My advice to you: let Pandora become YOUR real world for two and a half hours, let it make you completely forget about your life and problems, let it entertain you, move you, let it carry you away.Because THAT is what i expect as an exchange for my ticket.And a few hours ago i got tens of tickets worth of that.",positive
6,"I saw this epic last night at the Empire Leicester Sq in London, which is a superb venue in which to view this film. Huge screen, excellent sound and an extraordinary Dolby, 3 dimensional image. The whole effect is mind blowing.This is a 'Must see' movie, innovative, and extraordinary. I think it will be regarded by most cinema goers as another milestone in the history of the art. The level of realism achieved is remarkable, and although the film is relatively long in real time, it retains it's excitement and holds the audience's attention to the end.Performances are good, but this is not the sort of film that dwells on big star value for the actors, although Sigorney Weaver does shine and delivers a very convincing performance, as do the rest of the cast. But as there is so much entertainment and action value on screen the human element does not dominate in the usual way.As Writer/Director, James Cameron deserves high praise for this creation and in my opinion it will break box office records. I thoroughly enjoyed this film.",positive
7,"First of all, let me get it out of the way: yes, Avatar is visually stunning. With better scenario and dialogs, it could have been a very good movie; alas, it was completely predictable, and fancy special effects alone do not make a good movie.Let's start with the picture. As I said before, the special effects and computer animation are really good; the textures feel very real, and the degrees of liberty that CGI animation allows in terms of camera angles and movement is well used for dramatic effects. The luxurious vegetation of the forest and the CGI-animated wild animals are a treat to the eyes. In terms of artwork, there is a definite influence from Nausicaa (the forest-world, the spores) and Starcraft (the vessels, the goliaths). I saw the movie in an IMAX movie with 3D glasses, but I am not convinced that they used the full potential of it - quite honestly, the Haribo commercial before the movie made a better use of it. I find it more strenuous to watch a movie with the 3D-glasses - some details are blurry, and it feels likewise when the camera makes swift lateral movements.Now, the scenario - the movie disappoints in that area. The plot is very Manichean, and it feels like a remake of Pocahontas, interspersed with elements from / tributes to Star Wars (Pandora and the Na'vi look like Endor and the Ewoks respectively), Nausicaa (the forest as an entity, the destructive impact of civilization on nature, the spores in the forest), Starcraft (Colonel Quarritch and Dr Augustine bear some resemblance with Arcturus Mensk and Sarah Kerrigan), Matrix (the concept of controlling another image of self), and maybe even Independence Day (the pilot fighter suicide) and the Lion King (the father's death, ""go, and never come back!"", ... am I going to far here?). But I can honestly say that I haven't been surprised at any point in the movie. You know from the beginning that he will be accepted by the Na'vi, that he will fall in love, that he will defect, that he will ultimately prevail after suffering some heavy casualties, and that he will find a way to permanently transfer his mind into the body of his avatar.It would have been interesting if the movie had dealt in more depth with the issues related to transferring one's mind into another body for instance, maybe a la Twelve Monkeys Army, where the ""hero"" is clearly deeply affected by experiences that the mind is not used to deal with (time travel in that case, but it is not that different from what we have here). Likewise, the love interest of our hero seems very indifferent to the fact that he really is a human remotely controlling a human - Na'vi bastard. I was expecting someone (him, her, or even one of the other humans in the scientific group) to show at least some kind of surprise / doubt when these feelings emerge. I was expecting more complexity in the social interactions of the characters, and their personality.I also take issues with some big stereotypes: corporations and the white men are greedy, indigenous people are pure, brave, and connected to the earth, but dumb - thankfully there is a human to teach them how to fight those who come from the sky. To some extent, the movie feels like a remake of the colonization of the Americas; just replace the Na'vis by native Americans, the aircrafts by ships, and modern weapons by muskets, and you have it. Except of course the colonization of the Americas did not have such a happy ending for the native tribes.On the whole, the movie is beautiful, but it feels like the main goal was to showcase fancy special effects. The movie would have benefited from more detailed characters, and a less linear and predictable plot. My rating is 6/10.",neutral
8,"Twelve years later, Titanic creator James Cameron yet again delivers a great science fiction extravaganza with the usual tropes and clichés of a ""good guy"" who must overcome a battle with his own morals to do what's right, but somehow making it all work beautifully. The characters, the musical score for every scene, the beauty and uniqueness of the flora and fauna of Pandora, living forests, thundering waterfalls, nimble beasts, flying dragon-birds, and the way cultures of the Na'vis is portrayed will truly keep you captivated and leave you beyond impressed.In its initial release, Avatar garnered mass positive reviews and went on to break multiple box office records in various markets. Worldwide, it became the highest-grossing movie of all time and bagged multiple awards in its genre including The Oscars. The story follows a paraplegic Marine who replaces his deceased twin brother to the distant moon Pandora on a unique mission but soon finds himself struggling between following orders and protecting a world he feels is his home. His aim; to persuade the mystic, nature-loving Na'vis to clear way for humans to mine their home and obtain a valuable mineral unobtainium; however, things take a turn when he falls in love with the Na'vi princess, Neytiri, and is eventually drawn into a battle with his own race for the survival of her world. As the planet's environment is poisonous, human/Na'vi hybrids, called Avatars, must link to human minds to allow for free movement on Pandora which is one if not the main focus of the film. With science fiction, the film also displays a series of unexplained phenomena that could not otherwise be explained by logic but relates to a more spiritual and imaginary level keeping in sync with the entire mystical setting of the storyline. The action sequences look phenomenal and you can definitely feel the scale of the two races fighting each other through Cameron's direction.While the majority agree that ""Avatar"" uses its sci-fi plot as a metaphor to give voice to our fears of the future and setting a great example of showing how we will fail in our efforts to eventually create a world full of destruction, some argue that it supports racist theme of a white hero yet again saving the primitive natives. The film also has connotations pointing to mass genocide, to the conflicts in countries like Iran and Vietnam, and to ecological situations like deforestation. However, I believe to view it from the perspective of a film that pits greedy, immoral humans against noble inhabitants and follows a message that all living is connected, and those who intend to exploit nature rather than respect it will only destroy themselves. This becomes evident when all the animals hostile to Pandora come together to charge at the humans to defend their land and their existence. The Ikran (flying birds) attack the aircrafts while the forest animals fight the soldiers on the ground. Neytiri can be heard yelling ""Jake, Eywa heard you!"" insinuating that mother nature recognized the importance of defending itself.After its release, Avatar became an extremely controversial movie, with some people claiming it to be groundbreaking while others calling it an overlong and derivative bore. The warranted hate, in my opinion, comes from the fact that it's got a few blatant similarities to other movies that stress on the overproduced heroic factor, however, it is evident that Cameron has poured his heart and soul into this masterpiece, breaking through the motion-capture tech frontier with state of the art CGI. So even if the movie doesn't exactly consist of the biggest twists and turns, it surely sets out to stun us with the enchanting VFX that made the whole mystical world convincing and life-like, working in favor of a classic, albeit overused, storyline.In conclusion, Avatar is about a race of humanoids that could not be more alien from us, and yet, by about half way through the film, it manages to completely convince us of their realism, their plight and their humanity. It also demonstrated in harsh terms our audacity to be merciless and barbaric to those who appear different from us. This movie did what it set out to do perfectly and maybe even better, and towards the end, it will get you wondering about all the possibilities of life existing in the depths of the universe out there. Without much exaggeration, it is a cinematic experience of the generation, ahead of its time, that will leave you spellbound in the best way possible. So if you haven't seen Avatar, then you should see it as soon as possible- a great science fiction adventure from a master filmmaker!",positive
9,"Let me preface this by saying I am a huge James Cameron fan. I think ""Terminator"" is a masterpiece of sci-fi and the single best edited film of all time, ""Aliens"" is easily the best sequel not from the original director and I personally like it a lot more than the original. ""Abyss"" created an interesting world and was racked with tension, ""Terminator 2"" is an action tour-de-force and has what I believe the best sound editing/design of all time, ""True Lies"" is goofy fun, more poignant than most give it credit for with a boffo ending, and finally ""Titanic"" was far better than anyone expected it to be and has one of the most believable romances in a movie.So then there was the 12 year wait for ""Avatar"". No reviews, word of mouth, ticket price or natural disaster would keep me from the midnight IMAX 3D screening. I went with moderate expectations, which the film matched exactly. While this kept me from being disappointed it wasn't a good thing.Movie fans were on edge because if ""Avatar"" flops, it'll mean the death of creativity in a remake-happy Hollywood. That's a valid concern but the problem is nothing in ""Avatar"" is creative whatsoever. It is literally ""Dances with Wolves"" in space, right down to having a ""Wind in his Hair"" character as a foil to the ""new guy"".As the movie progressed it caused the worst of all bad reactions for me as a viewer - I started thinking about other things. Then I kept thinking ""well the end battle is supposed to be awesome"".SPOILER WARNING! (if for some reason you can't guess how this movie ends) End battle comes and the movie switches from being ""Dances with Wolves"" to Disney's ""Atlantis"" (but that's unfair since both of those movies contained far, FAR better musical scores) Gunship windows that were impervious to arrows a few scenes ago (to show Na'vi desperation) suddenly become brittle and break easily (to show Na'vi heroism). The battle isn't nearly as long as you'd expect, and nowhere near as epic / engaging as the finale of Return of the King. Finally there's a Robo-suit vs Navi fight and it is admittedly pretty good. Unlike 95% of directors these days Cameron knows enough to pull the camera back and let us SEE the fight. However it's an odd choice to spend millions on 10 foot tall ""creatures"" and then rarely even have them in the same frame as humans.And of course there's the obligatory scene where characters are dying in slow motion as Middle Eastern vocal music plays (see Gladiator or Munich) Wouldn't have been so bad if I hadn't said to my friend on the way there ""How much you wanna bet there's a part where characters die in slow motion over Middle Eastern music?""As with most movies these days ""Avatar"" is far too long, glossing over important details (why is Earth dying, what does Unobtainium do, etc) and instead spending time on flight scenes, mystic ceremonies, spirit trees and nature bonding.Ultimately I just did not care. Since the dawn of cinema Hollywood recycles old ideas every few decades and slaps on a bigger budget / new stars / better effects so you won't notice. I can see re-doing ""Ben Hur"" with color and sound, but why do we need ""Dances with Wolves"" with 20 times the budget and blue Native Americans? No amount of impressive visuals, robo-suits, gunship battles, perfect character CGI or Sigorney Weaver can change the fact that I've seen this movie 100 times before. I could even accept the weak story if there were any characters to give a rat's ass about. This film is also dreadfully humorless, a stark contrast to ""Titanic"" where humor was one of its many surprises.Regarding 3D... I've seen many films in it now and honestly you don't even notice after the few minutes. It doesn't make the money any better or worse, just more expensive.Citizen Kane, The Robe, Sound of Music, Jaws, Star Wars, Batman, Toy Story, The Matrix... these movies changed movies. We can say that looking back now. ""Avatar"" saying it would ahead of time is pure hubris, ""unsinkable Titanic""-like poppycock.But if expensive motion-capture being used to cover up a weak, generic story is the future of cinema then count me out, I'll stick with my PS3.",neutral
